Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3754792,MDG_0000000001,COUNTRY,BGD,YEAR,SEAR,South-East Asia,SEX,2011,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,32.7 [31.3-34.1],32.676702949,31.273566103,34.131741981,,2025-04-15T15:49:27.583+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
3762638,MDG_0000000001,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,SEX,2020,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,17.8 [12.2-26.1],17.799452877,12.246891567,26.051960537,,2025-04-15T15:49:27.583+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
3765691,MDG_0000000001,COUNTRY,NGA,YEAR,AFR,Africa,SEX,2021,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,68.3 [50.5-94.5],68.332069213,50.544552354,94.520915362,,2025-04-15T15:49:27.583+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
3765902,MDG_0000000001,COUNTRY,POL,YEAR,EUR,Europe,SEX,2020,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,4.1 [4.0-4.2],4.108247368,4.000239989,4.219384931,,2025-04-15T15:49:27.583+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
3770297,MDG_0000000001,COUNTRY,BGD,YEAR,SEAR,South-East Asia,SEX,2015,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,27.9 [26.6-29.3],27.914015309,26.631751179,29.27259812,,2025-04-15T15:49:27.583+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3777936,MDG_0000000001,COUNTRY,COL,YEAR,AMR,Americas,SEX,2013,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,13.1 [11.0-15.8],13.147162983,10.974944288,15.808454535,,2025-04-15T15:49:27.583+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
3863754,MDG_0000000001,COUNTRY,NGA,YEAR,AFR,Africa,SEX,2016,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,69.5 [58.9-83.1],69.500767693,58.90399118,83.05236893,,2025-04-15T15:49:27.583+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3873134,MDG_0000000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,2015,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,60.3 [53.2-67.9],60.251020249,53.233867418,67.895367074,,2025-04-15T15:49:27.583+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3874920,MDG_0000000001,COUNTRY,COL,YEAR,AMR,Americas,SEX,2011,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,17.5 [15.1-20.3],17.543392934,15.091895979,20.267939621,,2025-04-15T15:49:27.583+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
3879587,MDG_0000000001,COUNTRY,CHL,YEAR,AMR,Americas,SEX,2015,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,6.8 [6.7-7.0],6.836845374,6.680142832,6.992334698,,2025-04-15T15:49:27.583+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3881905,MDG_0000000001,COUNTRY,SGP,YEAR,WPR,Western Pacific,SEX,2023,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,1.9 [1.5-2.2],1.853530691,1.533618442,2.226562229,,2025-04-15T15:49:27.583+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
3884209,MDG_0000000001,COUNTRY,POL,YEAR,EUR,Europe,SEX,2023,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,3.7 [3.6-3.9],3.731581467,3.601808834,3.869769767,,2025-04-15T15:49:27.583+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
3897228,MDG_0000000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,2017,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,64.1 [55.1-73.7],64.102604281,55.095700376,73.660699238,,2025-04-15T15:49:27.583+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
3919979,MDG_0000000001,COUNTRY,GHA,YEAR,AFR,Africa,SEX,2011,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,48.7 [45.2-52.4],48.679757869,45.210133597,52.41697423,,2025-04-15T15:49:27.583+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
3931574,MDG_0000000001,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2018,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,31.2 [29.1-33.5],31.157849393,29.08697149,33.453446489,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,2025-04-15T15:49:27.583+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
3936930,MDG_0000000001,COUNTRY,MDG,YEAR,AFR,Africa,SEX,2018,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,39.5 [34.7-45.1],39.474656109,34.661202787,45.060492187,,2025-04-15T15:49:27.583+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
3945961,MDG_0000000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,2021,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,49.9 [39.6-62.4],49.895165286,39.567718166,62.399813671,,2025-04-15T15:49:27.583+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
3954875,MDG_0000000001,COUNTRY,CHN,YEAR,WPR,Western Pacific,SEX,2013,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,10.3 [9.6-11.0],10.286699121,9.566253884,11.023065333,,2025-04-15T15:49:27.583+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
3957913,MDG_0000000001,COUNTRY,KOR,YEAR,WPR,Western Pacific,SEX,2022,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,2.6 [2.5-2.7],2.5928454,2.466389683,2.72664754,,2025-04-15T15:49:27.583+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
3961883,MDG_0000000001,COUNTRY,BGD,YEAR,SEAR,South-East Asia,SEX,2020,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,26.4 [25.0-27.7],26.413738109,25.035876817,27.662619252,,2025-04-15T15:49:27.583+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
3963146,MDG_0000000001,COUNTRY,KEN,YEAR,AFR,Africa,SEX,2018,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,37.8 [34.3-41.8],37.799278549,34.34507957,41.820599767,,2025-04-15T15:49:27.583+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
3972422,MDG_0000000001,COUNTRY,IDN,YEAR,WPR,Western Pacific,SEX,2015,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,19.9 [17.7-22.5],19.895362282,17.650573472,22.510771618,,2025-04-15T15:49:27.583+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3997314,MDG_0000000001,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,SEX,2013,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,22.8 [19.2-27.1],22.816301273,19.24453467,27.111792658,,2025-04-15T15:49:27.583+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4004389,MDG_0000000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,2013,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,68.7 [62.2-75.7],68.693082893,62.165849023,75.688406069,,2025-04-15T15:49:27.583+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4007457,MDG_0000000001,COUNTRY,BRA,YEAR,AMR,Americas,SEX,2023,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,11.0 [9.5-12.7],11.041164279,9.546850798,12.666641113,,2025-04-15T15:49:27.583+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
4013750,MDG_0000000001,COUNTRY,MEX,YEAR,AMR,Americas,SEX,2013,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,13.2 [12.6-14.0],13.233023843,12.602501498,14.034440325,,2025-04-15T15:49:27.583+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4017727,MDG_0000000001,COUNTRY,ZAF,YEAR,AFR,Africa,SEX,2011,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,33.9 [31.7-36.3],33.868784385,31.725701741,36.260877721,,2025-04-15T15:49:27.583+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4027003,MDG_0000000001,COUNTRY,SGP,YEAR,WPR,Western Pacific,SEX,2022,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,1.9 [1.7-2.2],1.920345478,1.668322303,2.203411844,,2025-04-15T15:49:27.583+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
4027740,MDG_0000000001,COUNTRY,MEX,YEAR,AMR,Americas,SEX,2017,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,14.3 [13.3-15.3],14.311361686,13.325732872,15.314253445,,2025-04-15T15:49:27.583+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
4046465,MDG_0000000001,COUNTRY,MEX,YEAR,AMR,Americas,SEX,2013,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,16.3 [15.5-17.2],16.250807008,15.484444377,17.229948392,,2025-04-15T15:49:27.583+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4054734,MDG_0000000001,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2015,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,36.2 [34.2-38.2],36.168103299,34.199628018,38.233302816,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,2025-04-15T15:49:27.583+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4059835,MDG_0000000001,COUNTRY,KEN,YEAR,AFR,Africa,SEX,2015,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,39.1 [35.8-42.9],39.078504545,35.845968561,42.902334579,,2025-04-15T15:49:27.583+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4061682,MDG_0000000001,COUNTRY,JPN,YEAR,WPR,Western Pacific,SEX,2020,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,1.7 [1.7-1.8],1.70850683,1.662831073,1.754294473,,2025-04-15T15:49:27.583+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
4073127,MDG_0000000001,COUNTRY,SGP,YEAR,WPR,Western Pacific,SEX,2016,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,2.0 [1.8-2.2],1.998708015,1.841743075,2.170319343,,2025-04-15T15:49:27.583+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4077230,MDG_0000000001,COUNTRY,THA,YEAR,SEAR,South-East Asia,SEX,2013,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,11.0 [9.3-12.0],10.958255012,9.31713694,11.995553489,,2025-04-15T15:49:27.583+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4078021,MDG_0000000001,COUNTRY,TUR,YEAR,EUR,Europe,SEX,2020,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,9.3 [8.4-10.3],9.332983409,8.445438223,10.317184372,,2025-04-15T15:49:27.583+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
4099661,MDG_0000000001,COUNTRY,KOR,YEAR,WPR,Western Pacific,SEX,2018,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,2.4 [2.3-2.5],2.400842733,2.325294866,2.478336032,,2025-04-15T15:49:27.583+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4103394,MDG_0000000001,COUNTRY,CHN,YEAR,WPR,Western Pacific,SEX,2020,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,5.8 [5.4-6.3],5.835379729,5.405946339,6.293963688,,2025-04-15T15:49:27.583+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
4136537,MDG_0000000001,COUNTRY,PHL,YEAR,WPR,Western Pacific,SEX,2020,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,22.8 [18.8-28.0],22.787464972,18.764684606,28.036720593,,2025-04-15T15:49:27.583+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
4145888,MDG_0000000001,COUNTRY,POL,YEAR,EUR,Europe,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,4.1 [4.0-4.3],4.147102983,4.040735254,4.256959284,,2025-04-15T15:49:27.583+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4156048,MDG_0000000001,COUNTRY,BRA,YEAR,AMR,Americas,SEX,2013,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,12.7 [11.9-13.5],12.689506392,11.897657736,13.502423002,,2025-04-15T15:49:27.583+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4159044,MDG_0000000001,COUNTRY,CHL,YEAR,AMR,Americas,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,6.5 [6.3-6.7],6.499477588,6.310140596,6.694875413,,2025-04-15T15:49:27.583+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4164187,MDG_0000000001,COUNTRY,IDN,YEAR,WPR,Western Pacific,SEX,2012,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,27.5 [25.1-30.2],27.544182197,25.134793139,30.247633559,,2025-04-15T15:49:27.583+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4171871,MDG_0000000001,COUNTRY,UGA,YEAR,AFR,Africa,SEX,2022,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,28.7 [19.4-42.0],28.690392985,19.372761861,41.954460588,,2025-04-15T15:49:27.583+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
4186312,MDG_0000000001,COUNTRY,SGP,YEAR,WPR,Western Pacific,SEX,2016,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,2.2 [2.0-2.3],2.174260131,2.026264507,2.331632096,,2025-04-15T15:49:27.583+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4191731,MDG_0000000001,COUNTRY,MEX,YEAR,AMR,Americas,SEX,2015,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,13.9 [13.2-14.7],13.880637932,13.168958201,14.703921925,,2025-04-15T15:49:27.583+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4192369,MDG_0000000001,COUNTRY,RWA,YEAR,AFR,Africa,SEX,2015,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,37.1 [31.2-44.0],37.065499061,31.214021971,44.001071957,,2025-04-15T15:49:27.583+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4192694,MDG_0000000001,COUNTRY,KOR,YEAR,WPR,Western Pacific,SEX,2011,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,3.4 [3.3-3.5],3.431134231,3.349021836,3.515965596,,2025-04-15T15:49:27.583+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4194654,MDG_0000000001,COUNTRY,GHA,YEAR,AFR,Africa,SEX,2021,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,33.8 [28.3-40.3],33.783837575,28.322570872,40.254186355,,2025-04-15T15:49:27.583+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
4194844,MDG_0000000001,COUNTRY,ZAF,YEAR,AFR,Africa,SEX,2017,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,27.3 [25.4-29.1],27.254575605,25.431481563,29.123847138,,2025-04-15T15:49:27.583+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
