Country,Year,doctors_per_10k,hospital_beds_per_10k,infant_mortality_rate,maternal_mortality_rate,tb_incidence_per_100k,dtp3_vaccination_rate,nurses_per_10k,gdp_per_capita,pop_density,health_exp_usd,health_exp_gdp,population_total,urban_population,poverty_headcount,gini_index
IDN,2019,4.62,85.0,19.232218254666666,,11.633334071,23.595733523125,85.0,4106.94856160358,145.132688936836,118.22380829,2.87862897,272489381.0,55.7382049560547,10.8,35.4
IDN,2020,6.2,77.0,18.606946688666667,,13.81104325,22.775399514,76.0,3853.70288774146,146.371283592869,131.8225708,3.42067289,274814866.0,56.2785287648768,9.8,35.3
IDN,2021,6.88,67.0,17.997579076333334,,13.412256323,22.007402633875,68.0,4287.17313995098,146.235107708626,158.89761353,3.70634937,276758053.0,56.8761702464027,8.6,35.5
IDN,2022,6.81,91.0,17.441597456,,14.0,21.28106723275,91.0,4730.83484836107,147.330175215419,127.44384766,2.69394851,278830529.0,57.4934704226599,7.9,35.5
IDN,2023,5.24,83.0,16.920401273666666,,13.68533391,20.609458428125,82.0,4876.30774512252,148.57692229227,,,281190067.0,58.1179353397878,6.7,36.1
IDN,2024,,78.0,,,,,87.0,,,,,,,,
IND,2010,,79.0,46.68660811733334,37.20000076,18.136593751,58.205117484249996,76.0,1347.51939071367,418.231449722352,44.79586029,3.33625913,1243481564.0,30.9042190810094,,
IND,2011,,82.0,44.58029443733333,15.7308830605,17.881441287,55.051073213625,79.0,1445.46127486037,424.199245255096,48.18242264,3.24634218,1261224954.0,31.2746502853309,27.1,28.8
IND,2012,,82.0,42.508721906666665,16.39302963,17.637420584,52.007521785875,79.0,1429.32199520032,430.068210238834,48.45263672,3.32935286,1278674502.0,31.5898935604399,,
IND,2013,,83.0,40.47621967833333,14.066592215,17.403925332,49.072798130875,82.0,1432.84397512195,435.838110245225,55.46933746,3.74944186,1295829511.0,31.9096789235237,,
IND,2014,7.15,85.0,38.485488268000005,13.64999962,17.185789919,46.271899813625,84.0,1553.88396075118,441.370107863944,56.3490181,3.61956549,1312277191.0,32.2288233408821,,
IND,2015,7.23,87.0,36.57200041533333,5.8496386105000004,16.982006056,43.60489331775,86.0,1583.99815907985,446.666542669658,58.12401581,3.59565973,1328024498.0,32.5472990022299,,
IND,2016,7.48,88.0,34.730082571333334,10.69999981,16.780844303,41.081611904249996,86.0,1707.50892912243,452.020992940243,59.72652817,3.50430417,1343944296.0,32.8650780972823,,
IND,2017,7.66,89.0,32.95395602833333,6.650469467,16.586913757,38.678676442875,89.0,1950.10468280866,457.30592394028,56.66844559,2.93597651,1359657400.0,33.1821328157539,,
IND,2018,8.4,90.0,31.263222486999997,6.195066198999999,16.405900591,36.43826221325,90.0,1966.25455171679,462.351569862673,57.46551132,2.8584938,1374659064.0,33.4984353473598,,
IND,2019,8.89,91.0,29.65434747233333,10.60000038,16.236161217,34.3206729745,90.0,2041.42863698585,467.185182245332,60.6913681,2.95299792,1389030312.0,33.8139578818147,,
IND,2020,7.23,85.0,28.15371299366667,11.30000019,16.078878857,32.3575304295,85.0,1907.04251637669,471.755150192218,63.83099747,3.34146094,1402617695.0,34.1286726088333,,
IND,2021,,85.0,26.777649689333334,,15.947148815,30.601648924625,85.0,2239.61384367482,475.652042419085,75.54971313,3.34680939,1414203896.0,34.4425517181304,,
IND,2022,,93.0,25.565562509333333,,,29.07876302425,93.0,2347.44829434623,479.425536881262,79.51509857,3.3058846,1425423212.0,34.7555673994206,5.3,25.5
IND,2023,,91.0,24.494931415,,,27.74654808,91.0,2530.12031278204,483.679010086809,,,1438069596.0,35.0676918424186,,
IND,2024,,94.0,,,,,93.0,,,,,,,,
JPN,2010,22.12,97.0,2.3757183486666666,2.2999999525,134.977674073,3.260043169333333,98.0,44968.1562349739,351.358024691358,4071.80200195,9.0630064,128070000.0,90.6228586840649,0.7,31.5
JPN,2011,,97.0,2.3284829913333334,2.25,133.683584049,3.272979941333334,96.0,48760.0789494211,350.707818930041,5103.34326172,10.48780155,127833000.0,90.8631654434251,0.5,33.0
JPN,2012,22.83,97.0,2.230693865,2.2000000475,133.188138442,3.0658040183333335,99.0,49145.2804308193,350.148148148148,5232.36279297,10.67169094,127629000.0,91.0265277326652,1.5,32.5
JPN,2013,,96.0,2.153586064666667,2.2000000475,132.717324174,2.958592138,99.0,40898.6478964744,349.643347050754,4356.15527344,10.67438698,127445000.0,91.1516595654317,1.0,31.5
JPN,2014,23.54,96.0,2.0792229983333335,2.25,131.827579276,2.8532154406666663,99.0,38475.3952461838,349.179698216735,4121.21142578,10.7290144,127276000.0,91.2548945132333,0.7,31.3
JPN,2015,,96.0,2.013510816666667,2.0499999525,131.493425513,2.757549642666667,99.0,34960.6393843385,348.809327846365,3754.18115234,10.74969959,127141000.0,91.3532644103625,0.4,30.7
JPN,2016,24.23,99.0,1.9563082293333334,1.899999976,130.894672418,2.672065036,99.0,39375.4731620781,348.631001371742,4194.22802734,10.65891552,127076000.0,91.4541254852142,0.7,31.8
JPN,2017,,99.0,1.9050623876666668,1.68276453,130.109635654,2.593994142,97.0,38834.0529341227,348.345679012346,4135.24316406,10.65627098,126972000.0,91.5498419685883,0.6,31.8
JPN,2018,24.85,98.0,1.8592718693333332,1.4943271875,129.332801758,2.523073073666667,98.0,39751.1330982711,347.903978052126,4265.77929688,10.73988247,126811000.0,91.6377318609728,1.0,32.9
JPN,2019,,98.0,1.820539933,1.3344786165,127.864827546,2.4619133693333333,98.0,40415.9567649547,347.415637860082,4431.29980469,10.96998405,126633000.0,91.7164207898107,1.2,33.0
JPN,2020,25.92,96.0,1.7896286006666668,1.208328843,126.169022733,2.4119799703333333,96.0,40028.7341726762,346.395061728395,4486.63671875,11.20903683,126261000.0,91.7809926267889,1.2,32.3
JPN,2021,,99.0,1.7696643806666668,0.980602205,126.013151788,2.3774374456666667,99.0,40094.5599795288,344.80546776406,4482.61816406,11.18996906,125681593.0,91.8741049279527,,
JPN,2022,26.49,99.0,1.7637239376666667,1.700000048,125.873870876,2.3615680626666666,99.0,34065.6438962526,343.278433470508,3889.35717773,11.42183685,125124989.0,91.9776532428406,,
JPN,2023,,98.0,1.768890142,,,2.361329838666667,98.0,33836.1756271617,341.54455749932,,,124516650.0,92.0826903891473,,
JPN,2024,,99.0,,,,,98.0,,,,,,,,
KEN,2010,1.71,90.0,41.376814176,57.1676216205,14.0,53.43336700725,89.0,1091.51873101194,73.0902185753945,58.8164711,5.38849831,41598567.0,31.8713287706458,,
KEN,2011,1.77,96.0,41.000591222666664,,,52.166535936624996,97.0,1096.14499807675,75.1281951716625,57.02286911,5.20212841,42758461.0,31.8673949025409,,
KEN,2012,1.84,94.0,41.176489851666666,51.400555506,,51.184367205125,93.0,1285.00536171512,77.1133692940226,64.48231506,5.0180583,43888303.0,31.8558130142761,,
KEN,2013,1.93,87.0,40.79640990566667,51.030386327,,49.948504423875,92.0,1370.87885214659,79.043453280388,67.59809875,4.93100405,44986791.0,31.8324454433988,,
KEN,2014,1.99,92.0,40.067156712999996,48.851944326,,48.754745887,90.0,1482.81566253497,80.9140808939804,72.84589386,4.91267347,46051440.0,31.7931545274563,,
KEN,2015,,89.0,39.01985466766667,,,47.38611192775,79.0,1489.11959777284,82.4529008736797,70.94755554,4.76439571,47088526.0,31.7338026039958,37.7,40.8
KEN,2016,,88.0,38.579264569,,,45.9921281575,83.0,1554.12610314423,84.0057771361452,73.88768005,4.75429106,48139687.0,31.6502520105647,,
KEN,2017,,81.0,38.43965907933333,,,45.2385674,75.0,1667.48447230835,85.5601194522199,66.46552277,3.98597503,49197766.0,31.5383650847102,,
KEN,2018,1.6,91.0,37.723743402,38.265744089,,44.229678527124996,89.0,1836.45275528993,87.019449386981,75.27681732,4.09903383,50207107.0,31.3940041639796,,
KEN,2019,,93.0,37.164179555666664,25.901113151999997,13.3,43.222609173125,88.0,1960.40808854893,88.4453894988127,85.64528656,4.36874676,51202827.0,31.1895566421135,,
KEN,2020,0.74,93.0,36.82350868766667,22.120899497499998,,42.75028480575,92.0,1927.66459027849,89.8940686683206,86.59217834,4.49248838,52217334.0,31.2063494632616,44.4,36.2
KEN,2021,0.98,95.0,36.292016771,26.150125531,,41.888127686125,95.0,2061.35622089594,91.6187594501618,94.1061554,4.56525421,53219166.0,31.2879334021971,46.4,38.7
KEN,2022,2.36,94.0,35.693125241333334,23.4101042435,,41.067537289375,91.0,2109.56288513137,93.3976149483117,90.43982697,4.32603645,54252461.0,31.4307820066946,46.9,37.7
KEN,2023,2.89,93.0,34.662795779,23.214333353,,39.87580570225,92.0,1942.58802756191,95.2681371231706,,,55339003.0,31.6330340816429,,
KEN,2024,,91.0,,,,,85.0,,,,,,,,
KOR,2010,20.16,94.0,3.2808293936666666,0.899999976,88.759882492,4.122772544333333,95.0,24071.2620526362,509.815967078189,1413.15209961,6.02606916,49554112.0,81.9685075986486,0.5,32.0
KOR,2011,20.63,99.0,3.174760024333333,0.899999976,96.838356232,3.9721362659999997,98.0,26175.2398553363,513.804280275749,1562.21313477,6.12371254,49936638.0,81.9615408086376,,
KOR,2012,20.99,99.0,3.083693016,0.899999976,103.768419007,3.8408208433333333,99.0,26600.5477433903,515.875583187751,1591.78039551,6.17752457,50199853.0,81.9087898200378,0.5,31.6
KOR,2013,21.75,99.0,3.0013661766666666,0.850000024,109.952098581,3.721130909333333,99.0,28449.3591104972,517.612269825303,1727.56616211,6.31104422,50428893.0,81.8269383502703,,
KOR,2014,22.1,99.0,2.9250484570000004,0.800000012,116.344278374,3.611265330333333,99.0,30667.0912467447,520.852499230217,1909.91503906,6.50225973,50746659.0,81.7315682816954,0.2,31.2
KOR,2015,22.42,98.0,2.8532776256666668,0.699999988,116.166455577,3.5089530616666664,98.0,30171.7906545222,523.525547744882,1933.61779785,6.72447348,51014947.0,81.639489860678,,
