Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7909645,HWF_0001,COUNTRY,THA,SEAR,YEAR,South-East Asia,,,2010,,,,,,,3.83,3.83,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
8024837,HWF_0001,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2014,,,,,,,4.78,4.78,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8035017,HWF_0001,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,,2017,,,,,,,7.43,7.43,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
8164745,HWF_0001,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,2019,,,,,,,25.19,25.19,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
8233071,HWF_0001,COUNTRY,CHN,WPR,YEAR,Western Pacific,,,2016,,,,,,,18.88,18.88,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
8269755,HWF_0001,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2017,,,,,,,6.6,6.6,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
8271250,HWF_0001,COUNTRY,MDG,AFR,YEAR,Africa,,,2022,,,,,,,1.72,1.72,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
8677189,HWF_0001,COUNTRY,MEX,AMR,YEAR,Americas,,,2021,,,,,,,25.41,25.41,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
8682687,HWF_0001,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2011,,,,,,,7.48,7.48,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
8713742,HWF_0001,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2018,,,,,,,6.95,6.95,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
8727995,HWF_0001,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,8.18,8.18,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8815948,HWF_0001,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2016,,,,,,,4.89,4.89,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
8909696,HWF_0001,COUNTRY,IND,SEAR,YEAR,South-East Asia,,,2020,,,,,,,7.23,7.23,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9121119,HWF_0001,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2021,,,,,,,6.77,6.77,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9239890,HWF_0001,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2018,,,,,,,5.73,5.73,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
9246688,HWF_0001,COUNTRY,POL,EUR,YEAR,Europe,,,2014,,,,,,,22.92,22.92,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9266360,HWF_0001,COUNTRY,KOR,WPR,YEAR,Western Pacific,,,2013,,,,,,,21.75,21.75,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9283704,HWF_0001,COUNTRY,MDG,AFR,YEAR,Africa,,,2012,,,,,,,1.36,1.36,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
9286028,HWF_0001,COUNTRY,POL,EUR,YEAR,Europe,,,2010,,,,,,,21.84,21.84,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9291582,HWF_0001,COUNTRY,CHN,WPR,YEAR,Western Pacific,,,2014,,,,,,,17.11,17.11,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9418302,HWF_0001,COUNTRY,MEX,AMR,YEAR,Americas,,,2019,,,,,,,24.6,24.6,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
