Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7591360,MDG_0000000001,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,SEX,2018,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,20.3 [14.9-28.1],20.328384012,14.851128976,28.098425452,,2025-04-15T15:49:27.583+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
7608509,MDG_0000000001,COUNTRY,MDG,AFR,YEAR,Africa,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,48.9 [42.4-56.4],48.895808375,42.416913301,56.449489903,,2025-04-15T15:49:27.583+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
7614607,MDG_0000000001,COUNTRY,UGA,AFR,YEAR,Africa,SEX,2016,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,36.4 [30.7-43.3],36.402048058,30.675628952,43.277246981,,2025-04-15T15:49:27.583+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
7618240,MDG_0000000001,COUNTRY,MDG,AFR,YEAR,Africa,SEX,2013,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,44.1 [39.7-48.8],44.130623101,39.740751634,48.765124578,,2025-04-15T15:49:27.583+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
7618640,MDG_0000000001,COUNTRY,JPN,WPR,YEAR,Western Pacific,SEX,2015,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,2.1 [2.1-2.1],2.101120614,2.0526916,2.149762913,,2025-04-15T15:49:27.583+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
7619702,MDG_0000000001,COUNTRY,ZAF,AFR,YEAR,Africa,SEX,2015,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,31.9 [29.8-34.1],31.89767592,29.783721296,34.08171183,,2025-04-15T15:49:27.583+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
7624668,MDG_0000000001,COUNTRY,PHL,WPR,YEAR,Western Pacific,SEX,2012,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,25.0 [22.6-27.6],24.977086389,22.582818159,27.56165552,,2025-04-15T15:49:27.583+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
7630506,MDG_0000000001,COUNTRY,CHN,WPR,YEAR,Western Pacific,SEX,2016,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,7.6 [7.1-8.0],7.551698099,7.118945539,8.017134796,,2025-04-15T15:49:27.583+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
7630540,MDG_0000000001,COUNTRY,THA,SEAR,YEAR,South-East Asia,SEX,2015,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,11.4 [9.8-12.6],11.350354093,9.751531467,12.637327344,,2025-04-15T15:49:27.583+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
7630976,MDG_0000000001,COUNTRY,IND,SEAR,YEAR,South-East Asia,SEX,2018,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,31.3 [29.3-33.4],31.280995898,29.284644774,33.374845592,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,2025-04-15T15:49:27.583+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
7638303,MDG_0000000001,COUNTRY,CHL,AMR,YEAR,Americas,SEX,2023,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,6.7 [6.4-7.0],6.669315953,6.37604424,6.985865092,,2025-04-15T15:49:27.583+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
7642126,MDG_0000000001,COUNTRY,MDG,AFR,YEAR,Africa,SEX,2020,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,44.7 [38.3-52.4],44.732484965,38.311035022,52.366067625,,2025-04-15T15:49:27.583+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
7658889,MDG_0000000001,COUNTRY,SGP,WPR,YEAR,Western Pacific,SEX,2017,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,2.3 [2.1-2.5],2.295883409,2.119328796,2.486488832,,2025-04-15T15:49:27.583+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
